Date_start,Power_kW,temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_mm/h,rain_day,Weekday,Weekend,Night,Holiday,Academic_Break,Christmas_Break,HDD_Daily,CDD_Daily,Power_kW-1,Sin_Hour,Cos_Hour,Temp_HR_Interaction
2019-04-04 01:00:00,50.499,9.071666666666667,59.30916666666667,0.0,0.0,1010.0,1.2628333333333333,0.0,0.0,3,0,1,0,0,0,5.428402777777778,0.0,52.366,0.25881904510252074,0.9659258262890683,538.0329902777778
2019-04-04 02:00:00,49.137,8.7675,61.05583333333333,0.0,0.0,1010.0,1.1911666666666667,0.0,0.0,3,0,1,0,0,0,5.428402777777778,0.0,50.499,0.49999999999999994,0.8660254037844387,535.30701875
2019-04-04 03:00:00,48.834,8.4425,62.84833333333333,0.0,0.0,1010.0,1.38975,0.0,0.0,3,0,1,0,0,0,5.428402777777778,0.0,49.137,0.7071067811865476,0.7071067811865476,530.5970541666667
2019-04-04 04:00:00,51.87,8.2525,63.75,0.0,0.0,1010.0,1.7684166666666667,0.0,0.0,3,0,1,0,0,0,5.428402777777778,0.0,48.834,0.8660254037844386,0.5000000000000001,526.096875
2019-04-04 05:00:00,57.484,8.1425,63.65,0.0,0.0,1010.0,1.8885,0.0,0.0,3,0,1,0,0,0,5.428402777777778,0.0,51.87,0.9659258262890683,0.25881904510252074,518.270125
2019-04-04 06:00:00,52.72,8.1525,63.41416666666667,0.0,0.0,1010.0,31.03441666666667,0.0,0.0,3,0,0,0,0,0,5.428402777777778,0.0,57.484,1.0,6.123233995736766e-17,516.98399375
2019-04-04 07:00:00,103.3,9.3525,57.310833333333335,0.0,0.0,1010.0,195.66666666666663,0.0,0.0,3,0,0,0,0,0,5.428402777777778,0.0,52.72,0.9659258262890683,-0.25881904510252063,535.99956875
2019-04-04 08:00:00,134.794,10.431666666666668,51.10333333333333,0.0,0.0,1010.0,397.95,0.0,0.0,3,0,0,0,0,0,5.428402777777778,0.0,103.3,0.8660254037844387,-0.4999999999999998,533.092938888889
2019-04-04 09:00:00,248.777,11.305,49.62833333333333,0.0,0.0,1010.0,560.7416666666667,0.0,0.0,3,0,0,0,0,0,5.428402777777778,0.0,134.794,0.7071067811865476,-0.7071067811865475,561.0483083333332
2019-04-04 10:00:00,252.481,12.384166666666667,42.69166666666666,0.0,0.0,1010.0,576.8000000000001,0.0,0.0,3,0,0,0,0,0,5.428402777777778,0.0,248.777,0.49999999999999994,-0.8660254037844387,528.7007152777777
2019-04-04 11:00:00,265.937,12.556666666666668,42.516666666666666,0.0,0.0,1009.25,440.95,0.0,0.0,3,0,0,0,0,0,5.428402777777778,0.0,252.481,0.258819045102521,-0.9659258262890682,533.8676111111112
2019-04-04 12:00:00,257.517,13.559166666666668,36.58583333333333,0.0,0.0,1008.5833333333334,814.1083333333332,0.0,0.0,3,0,0,0,0,0,5.428402777777778,0.0,265.937,1.2246467991473532e-16,-1.0,496.0734118055556
2019-04-04 13:00:00,255.506,13.22,38.071666666666665,0.0,0.0,1008.0,564.2583333333333,0.0,0.0,3,0,0,0,0,0,5.428402777777778,0.0,257.517,-0.2588190451025208,-0.9659258262890683,503.30743333333334
2019-04-04 14:00:00,269.722,12.7325,46.1375,0.0,0.0,1007.1666666666666,307.6166666666667,0.0,0.0,3,0,0,0,0,0,5.428402777777778,0.0,255.506,-0.4999999999999997,-0.8660254037844388,587.4457187500001
2019-04-04 15:00:00,272.296,12.369166666666668,46.8475,0.0,0.0,1006.75,261.6666666666667,0.0,0.0,3,0,0,0,0,0,5.428402777777778,0.0,269.722,-0.7071067811865471,-0.7071067811865479,579.4645354166668
2019-04-04 16:00:00,276.45,11.923333333333334,50.126666666666665,0.0,0.0,1006.0,174.53333333333333,0.0,0.0,3,0,0,0,0,0,5.428402777777778,0.0,272.296,-0.8660254037844385,-0.5000000000000004,597.6769555555555
2019-04-04 17:00:00,266.345,10.599166666666669,69.80583333333334,0.0,0.0,1005.9166666666666,50.52166666666667,0.1416666666666666,0.1416666666666666,3,0,0,0,0,0,5.428402777777778,0.0,276.45,-0.9659258262890683,-0.25881904510252063,739.8836618055558
2019-04-04 18:00:00,203.838,10.261666666666668,78.31666666666666,0.0,0.0,1005.0,16.727833333333333,0.3916666666666666,0.525,3,0,0,0,0,0,5.428402777777778,0.0,266.345,-1.0,-1.8369701987210297e-16,803.6595277777778
2019-04-04 19:00:00,146.76,10.576666666666666,81.81666666666666,0.0,0.0,1004.0833333333334,6.339916666666666,0.175,0.7000000000000001,3,0,0,0,0,0,5.428402777777778,0.0,203.838,-0.9659258262890684,0.2588190451025203,865.3476111111111
2019-04-04 20:00:00,105.327,10.456666666666663,84.45,0.0,0.0,1004.0,2.6335,1.9166666666666667,2.6166666666666667,3,0,0,0,0,0,5.428402777777778,0.0,146.76,-0.8660254037844386,0.5000000000000001,883.0654999999997
2019-04-04 21:00:00,74.793,10.639166666666666,84.3,0.0,0.0,1004.0,2.3400833333333333,3.475,5.991666666666667,3,0,1,0,0,0,5.428402777777778,0.0,105.327,-0.7071067811865477,0.7071067811865474,896.8817499999999
